Languages	Code	#Utterances
Abkhazian	abk	136
Arabic	ara	142
Assamese	asm	128
Bashkir	bak	112
Basaa	bas	145
Belarusian	bel	108
Bengali	ben	92
Breton	bre	179
Bulgarian	bul	108
Catalan	cat	96
Czech	ces	188
Chuvash	chv	120
Central Kurdish	ckb	131
Mandarin Chinese	cmn	108
Hakha Chin	cnh	167
Welsh	cym	105
Danish	dan	165
German	deu	100
Dhivehi	div	109
Greek	ell	140
English	eng	102
Esperanto	epo	112
Estonian	est	81
Basque	eus	103
Persian	fas	116
Finnish	fin	124
French	fra	112
Frisian	frr	107
Irish	gle	141
Galician	glg	117
Guarani	grn	135
Hausa	hau	122
Hindi	hin	109
Upper Sorbian	hsb	97
Hungarian	hun	119
Armenian	hye	99
Interlingua	ina	122
Indonesian	ind	156
Italian	ita	96
Japanese	jpn	126
Kabyle	kab	148
Georgian	kat	169
Kazakh	kaz	105
Kinyarwanda	kin	111
Kyrgyz (Kirghiz)	kir	136
Kurmanji Kurdish (Northern Kurdish)	kmr	130
Latvian	lav	179
Ganda (Luganda)	lga (we expect lug)⁰	108
Lithuanian	lit	107
Malayalam	mal	154
Marathi	mar	94
Meadow Mari (Eastern Mari)	mhr	110
Maltese	mlt	121
Mongolian	mon	105
Hill Mari (Western Mari)	mrj	114
Erzya	myv	97
Min Nan Chinese (Taiwanese Minnan)	nan	203
Dutch	nld	126
Norwegian Nynorsk	nno¹	126
Japanese	org_jpn (we expect jpn)²	106
Odia	ory (we expect ori)³	116
Polish	pol	120
Portuguese	por	128
Romanian	ron	143
Russian	rus	110
Yakut (Sakha)	sah	91
Saraiki	skr	124
Slovak	slk	139
Slovenian	slv	140
Spanish	spa	106
Serbian	srp	180
Swahili (macrolanguage)	swa	103
Swedish	swe	127
Tamil	tam	104
Tatar	tat	130
Thai	tha	119
Toki Pona	tok	162
Turkish	tur	126
Uighur (Uyghur)	uig	91
Ukrainian	ukr	111
Urdu	urd	144
Uzbek	uzb	111
Vietnamese	vie	158
Yue Chinese (Cantonese)	yue	125